individualID,scientificName,fieldID,tagID,EcoLocationID,Longitude,Latitude,Transect,Depth,timeOfDay,eventEnteredBy,dayCollected,monthCollected,yearCollected,Collector1,Collector2,Date_reassessment,State_reassessment,Taxon_ref
EXP09,Stylophora pistillata,12,9,H5A,151.99555,-23.4526,TowardsCrest,2.5,11:00,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,18/4/2024,Dead,Exp
EXP10,Stylophora pistillata,3,10,H5A,151.99555,-23.4526,TowardsCrest,2,11:00,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP11,Stylophora pistillata,8,11,FR1,151.977937,-23.472098,Picket1-D-S,8.8,9:30,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP12,Stylophora pistillata,4,12,FR1,151.977937,-23.472098,Picket1-D-S,8.1,9:30,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,19/4/2024,PartiallyDead,Exp
EXP13,Stylophora pistillata,33,13,FR1,151.977937,-23.472098,Picket1-D-S,7.5,9:30,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,19/4/2024,Dead,Exp
EXP14,Stylophora pistillata,26,14,FR1,151.977937,-23.472098,Picket1-D-S,7.2,9:30,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP15,Stylophora pistillata,24,15,FR2,151.9510635,-23.4708255,Picket1-D-S,10.5,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,19/4/2024,PartiallyDead,Exp
EXP16,Stylophora pistillata,6,16,FR2,151.9510635,-23.4708255,Picket1-D-S,10.5,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,19/4/2024,Healthy,Exp
EXP17,Stylophora pistillata,28,17,FR2,151.9510635,-23.4708255,Picket1-D-S,10.3,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP18,Stylophora pistillata,38,18,FR2,151.9510635,-23.4708255,Picket1-D-S,9.8,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP19,Stylophora pistillata,5,19,FR2,151.9510635,-23.4708255,Picket1-D-S,9.5,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP20,Stylophora pistillata,11,20,FR2,151.9510635,-23.4708255,Picket1-D-S,8.1,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP21,Stylophora pistillata,7,21,FR2,151.9510635,-23.4708255,Picket1-D-S,6.6,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP22,Stylophora pistillata,22,22,FR2,151.9510635,-23.4708255,Picket1-D-S,5.9,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP23,Stylophora pistillata,25,23,FR2,151.9510635,-23.4708255,Picket1-D-S,4.5,11:00,Zoe Meziere,4,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP24,Stylophora pistillata,38,24,BA1,151.952453,-23.428043,Picket1-Picket2,10.5,9:30,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,21/4/2024,PartiallyDead,Exp
EXP25,Stylophora pistillata,10,25,BA1,151.952453,-23.428043,Picket1-Picket2,5.9,9:30,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP26,Stylophora pistillata,11,26,BA1,151.952453,-23.428043,Picket1-Picket2,4.5,9:30,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP27,Stylophora pistillata,28,27,BA1,151.952453,-23.428043,Picket1-Picket2,5,9:30,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP28,Stylophora pistillata,20,28,BA1,151.952453,-23.428043,Picket1-Picket2,5,9:30,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP29,Stylophora pistillata,29,29,BA1,151.952453,-23.428043,Picket1-Picket2,5,9:30,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP30,Stylophora pistillata,7,30,BA2,151.920269,-23.434075,Picket1-Picket2,10.5,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,25/4/2024,"PartiallyDead, Bleached",Exp
EXP31,Stylophora pistillata,17,31,BA2,151.920269,-23.434075,Picket1-Picket2,9.9,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,25/4/2024,Healthy,Exp
EXP32,Stylophora pistillata,3,32,BA2,151.920269,-23.434075,Picket1-Picket2,10.1,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,25/4/2024,Dead,Exp
EXP33,Stylophora pistillata,4,33,BA2,151.920269,-23.434075,Picket1-Picket2,9.3,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,25/4/2024,Dead,Exp
EXP34,Stylophora pistillata,16,34,BA2,151.920269,-23.434075,Picket1-Picket2,6.9,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,25/4/2024,Dead,Exp
EXP35,Stylophora pistillata,21,35,BA2,151.920269,-23.434075,Picket1-Picket2,5.4,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,25/4/2024,PartiallyDead,Exp
EXP36,Stylophora pistillata,25,36,BA2,151.920269,-23.434075,Picket1-Picket2,6.4,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,25/4/2024,Dead,Exp
EXP37,Stylophora pistillata,8,37,BA2,151.920269,-23.434075,Picket1-Picket2,5.5,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP38,Stylophora pistillata,19,38,BA2,151.920269,-23.434075,Picket1-Picket2,3.5,11:00,Zoe Meziere,5,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP39,Stylophora pistillata,8,245,FL1,151.925688,-23.4561755,Picket1-Left,6.4,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Dead,Exp
EXP40,Stylophora pistillata,32,246,FL1,151.925688,-23.4561755,Picket1-Left,5.5,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,,,Exp
EXP41,Stylophora pistillata,16,247,FL1,151.925688,-23.4561755,Picket1-Left,5.3,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Dead,Exp
EXP42,Stylophora pistillata,12,248,FL1,151.925688,-23.4561755,Picket1-Left,5,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,PartiallyDead,Exp
EXP43,Stylophora pistillata,20,249,FL1,151.925688,-23.4561755,Picket1-Left,4.8,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Healthy,Exp
EXP44,Stylophora pistillata,22,250,FL1,151.925688,-23.4561755,Picket1-Left,3.5,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Healthy,Exp
EXP45,Stylophora pistillata,2,251,FL1,151.925688,-23.4561755,Picket1-Left,3.5,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,,,Exp
EXP46,Stylophora pistillata,28,252,FL1,151.925688,-23.4561755,Picket1-Left,3,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Healthy,Exp
EXP47,Stylophora pistillata,21,253,FL1,151.925688,-23.4561755,Picket1-Left,3.5,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,21/4/2024,Dead,Exp
EXP48,Stylophora pistillata,17,254,FL1,151.925688,-23.4561755,Picket1-Left,3.5,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,21/4/2024,PartiallyDead,Exp
EXP49,Stylophora pistillata,9,255,FL1,151.925688,-23.4561755,Picket1-Left,2.7,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,21/4/2024,Healthy,Exp
EXP50,Stylophora pistillata,4,256,FL1,151.925688,-23.4561755,Picket1-Left,5.2,9:30,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,21/4/2024,Healthy,Exp
EXP51,Stylophora pistillata,5,257,CoralGarden,151.9106,-23.445709,Left,7.5,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP52,Stylophora pistillata,6,258,CoralGarden,151.9106,-23.445709,Left,8,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Healthy,Exp
EXP53,Stylophora pistillata,38,259,CoralGarden,151.9106,-23.445709,Left,7.6,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,PartiallyDead,Exp
EXP54,Stylophora pistillata,13,260,CoralGarden,151.9106,-23.445709,Left,8.1,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP55,Stylophora pistillata,26,261,CoralGarden,151.9106,-23.445709,Left,7.8,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP56,Stylophora pistillata,39,262,CoralGarden,151.9106,-23.445709,Left,7.8,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP57,Stylophora pistillata,19,263,CoralGarden,151.9106,-23.445709,Left,7.6,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP58,Stylophora pistillata,11,264,CoralGarden,151.9106,-23.445709,Left,7.4,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP59,Stylophora pistillata,7,265,CoralGarden,151.9106,-23.445709,Left,7.2,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,19/4/2024,PartiallyDead,Exp
EXP60,Stylophora pistillata,24,266,CoralGarden,151.9106,-23.445709,Left,7.2,11:00,Zoe Meziere,6,2,2024,Zoe Meziere,Ilha Byrne,19/4/2024,Healthy,Exp
EXP61,Stylophora pistillata,13,267,LibbysLair,151.93645,-23.43528,D-S-right,8,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Dead,Exp
EXP62,Stylophora pistillata,21,268,LibbysLair,151.93645,-23.43528,D-S-right,7.7,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Bleached and PartiallyDead,Exp
EXP63,Stylophora pistillata,17,269,LibbysLair,151.93645,-23.43528,D-S-right,5.7,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Dead,Exp
EXP64,Stylophora pistillata,28,270,LibbysLair,151.93645,-23.43528,D-S-right,5,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Healthy,Exp
EXP65,Stylophora pistillata,11,271,LibbysLair,151.93645,-23.43528,D-S-right,4.2,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Healthy,Exp
EXP66,Stylophora pistillata,6,272,LibbysLair,151.93645,-23.43528,D-S-right,4.8,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,PartiallyDead,Exp
EXP67,Stylophora pistillata,18,273,LibbysLair,151.93645,-23.43528,D-S-right,3.5,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,PartiallyDead,Exp
EXP68,Stylophora pistillata,20,274,LibbysLair,151.93645,-23.43528,D-S-right,3,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Dead,Exp
EXP69,Stylophora pistillata,25,275,LibbysLair,151.93645,-23.43528,D-S-right,2.8,9:30,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,20/4/2024,Dead,Exp
EXP70,Stylophora pistillata,16,276,HeronBommie,151.903586,-23.440943,Right,8.8,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,19/4/2024,Dead,Exp
EXP71,Stylophora pistillata,12,277,HeronBommie,151.903586,-23.440943,Right,7.5,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP72,Stylophora pistillata,5,278,HeronBommie,151.903586,-23.440943,Right,5.7,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,25/4/2024,Dead,Exp
EXP73,Stylophora pistillata,1,279,HeronBommie,151.903586,-23.440943,Right,2.7,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,,,Exp
EXP74,Stylophora pistillata,39,280,HeronBommie,151.903586,-23.440943,Right,4,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,19/4/2024,Dead,Exp
EXP75,Stylophora pistillata,10,281,HeronBommie,151.903586,-23.440943,Right,4,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,19/4/2024,Dead,Exp
EXP76,Stylophora pistillata,32,282,HeronBommie,151.903586,-23.440943,Right,4.3,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,,,Exp
EXP77,Stylophora pistillata,19,283,HeronBommie,151.903586,-23.440943,Right,4.2,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,19/4/2024,Dead,Exp
EXP78,Stylophora pistillata,22,284,HeronBommie,151.903586,-23.440943,Right,5,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,19/4/2024,Dead,Exp
EXP79,Stylophora pistillata,2,285,HeronBommie,151.903586,-23.440943,Right,5,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,,,Exp
EXP80,Stylophora pistillata,26,286,HeronBommie,151.903586,-23.440943,Right,5,11:00,Zoe Meziere,7,2,2024,Zoe Meziere,Ilha Byrne,,,Exp
Spis-CBLM-1207,,,,,,,,,,,,,,,,,,Taxon5
Spis-OCCH-643,,,,,,,,,,,,,,,,,,Taxon3
Spis-OCDA-587,,,,,,,,,,,,,,,,,,Taxon3
Spis-OCDA-619,,,,,,,,,,,,,,,,,,Taxon3
Spis-OCDA-685,,,,,,,,,,,,,,,,,,Taxon4
Spis-ONMO-320,,,,,,,,,,,,,,,,,,Taxon3
Spis-ONMO-373,,,,,,,,,,,,,,,,,,Taxon3
Spis-PAOR-546,,,,,,,,,,,,,,,,,,Taxon4
